number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,params_objective,params_train_size,state
0,0.6516743854649092,2023-11-18 00:43:40.272366,2023-11-18 00:44:00.949270,0 days 00:00:20.676904,1.0,5,False,1.0,1.0,2.0,0.03,3,75,0.1,0.001,100,3,binary,3,COMPLETE
1,0.6349051543375432,2023-11-18 00:44:33.366683,2023-11-18 00:45:43.079349,0 days 00:01:09.712666,1.0,10,True,0.6,0.1,0.1,0.03,3,75,0.5,0.001,250,15,regression,7,COMPLETE
2,0.6305960380486954,2023-11-18 00:46:14.201187,2023-11-18 00:48:25.704458,0 days 00:02:11.503271,0.8,10,True,0.8,2.0,2.0,0.01,5,75,0.1,0.01,100,15,binary,4,COMPLETE
3,0.626360167695134,2023-11-18 00:49:01.248273,2023-11-18 00:49:41.001084,0 days 00:00:39.752811,0.8,0,False,1.0,0.1,2.0,0.02,4,75,0.0,0.1,1000,2,binary,5,COMPLETE
4,0.6233260902521602,2023-11-18 00:50:28.433028,2023-11-18 00:52:40.314781,0 days 00:02:11.881753,1.0,10,True,0.6,2.0,2.0,0.03,5,75,0.1,1.0,100,31,binary,9,COMPLETE
5,0.653691396536914,2023-11-18 00:53:13.485487,2023-11-18 00:54:10.238877,0 days 00:00:56.753390,1.0,0,False,1.0,0.0,2.0,0.02,3,25,0.0,0.01,500,3,binary,3,COMPLETE
6,0.6134108449433697,2023-11-18 00:54:40.810678,2023-11-18 00:55:14.106643,0 days 00:00:33.295965,0.8,10,False,0.8,0.0,0.1,0.01,5,25,0.0,0.001,100,31,binary,9,COMPLETE
7,0.6242346116661296,2023-11-18 00:55:51.127833,2023-11-18 00:56:39.010952,0 days 00:00:47.883119,1.0,5,False,1.0,0.1,1.0,0.04,4,50,0.1,0.01,100,15,binary,10,COMPLETE
8,0.632880041123417,2023-11-18 00:57:07.372869,2023-11-18 00:57:37.898835,0 days 00:00:30.525966,1.0,5,False,0.8,0.1,0.1,0.03,4,25,0.0,0.001,1000,3,regression,5,COMPLETE
9,0.672440537745605,2023-11-18 00:58:07.385479,2023-11-18 00:58:49.952334,0 days 00:00:42.566855,0.8,0,True,0.6,2.0,2.0,0.03,4,100,0.1,1.0,100,31,binary,2,COMPLETE
10,0.6730802945301543,2023-11-18 00:59:20.352979,2023-11-18 00:59:37.978646,0 days 00:00:17.625667,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
11,0.6730802945301543,2023-11-18 01:00:07.402759,2023-11-18 01:00:52.122790,0 days 00:00:44.720031,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
12,0.6730802945301543,2023-11-18 01:01:19.882948,2023-11-18 01:01:37.794481,0 days 00:00:17.911533,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
13,0.6730802945301543,2023-11-18 01:02:04.985575,2023-11-18 01:02:50.354397,0 days 00:00:45.368822,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
14,0.6389483756322049,2023-11-18 01:03:17.458997,2023-11-18 01:03:31.570589,0 days 00:00:14.111592,0.6,0,True,0.6,1.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,6,COMPLETE
15,0.6362821725494101,2023-11-18 01:04:01.626773,2023-11-18 01:04:50.491851,0 days 00:00:48.865078,0.6,0,True,0.8,2.0,0.0,0.04,5,50,0.5,10.0,250,7,regression,8,COMPLETE
16,0.6685403528013892,2023-11-18 01:05:18.257276,2023-11-18 01:05:35.210097,0 days 00:00:16.952821,0.6,0,True,0.6,2.0,0.0,0.04,3,100,0.5,10.0,500,7,regression,2,COMPLETE
17,0.6681030653043092,2023-11-18 01:06:05.289513,2023-11-18 01:07:04.487392,0 days 00:00:59.197879,0.6,0,True,0.8,2.0,1.0,0.05,4,100,0.5,0.1,250,2,regression,2,COMPLETE
18,0.650710790025635,2023-11-18 01:07:32.465569,2023-11-18 01:08:02.797736,0 days 00:00:30.332167,0.6,0,True,0.6,0.0,0.0,0.04,5,50,0.5,10.0,250,7,regression,4,COMPLETE
19,0.6421625109462138,2023-11-18 01:08:44.081528,2023-11-18 01:09:30.251412,0 days 00:00:46.169884,0.8,5,True,0.8,1.0,0.0,0.05,3,100,0.5,10.0,250,7,regression,6,COMPLETE
20,0.6404823342596269,2023-11-18 01:09:58.201803,2023-11-18 01:10:18.938436,0 days 00:00:20.736633,0.6,0,True,0.6,2.0,0.0,0.04,4,75,0.5,10.0,500,7,regression,7,COMPLETE
21,0.6730802945301543,2023-11-18 01:10:47.197951,2023-11-18 01:11:30.513873,0 days 00:00:43.315922,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
22,0.6730802945301543,2023-11-18 01:11:57.889577,2023-11-18 01:13:15.837691,0 days 00:01:17.948114,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
23,0.6730802945301543,2023-11-18 01:13:43.295779,2023-11-18 01:14:08.426671,0 days 00:00:25.130892,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
24,0.6398898898898899,2023-11-18 01:14:37.917469,2023-11-18 01:16:21.986130,0 days 00:01:44.068661,0.6,0,True,0.6,2.0,1.0,0.04,4,100,0.5,10.0,1000,7,regression,8,COMPLETE
25,0.6086889775867362,2023-11-18 01:16:49.843037,2023-11-18 01:17:08.207234,0 days 00:00:18.364197,0.8,0,True,0.6,2.0,0.0,0.05,4,75,0.5,1.0,250,2,regression,10,COMPLETE
26,0.6701447763140733,2023-11-18 01:17:36.484018,2023-11-18 01:18:02.160483,0 days 00:00:25.676465,0.6,0,True,0.8,2.0,0.0,0.04,3,100,0.5,0.1,250,7,regression,2,COMPLETE
27,0.6711983887210473,2023-11-18 01:18:30.274299,2023-11-18 01:18:48.798719,0 days 00:00:18.524420,0.8,0,True,0.6,1.0,0.0,0.05,5,75,0.5,10.0,250,7,regression,2,COMPLETE
28,0.6703321567562676,2023-11-18 01:19:17.090869,2023-11-18 01:19:53.882707,0 days 00:00:36.791838,0.6,10,True,0.8,0.0,0.0,0.02,4,100,0.5,10.0,250,7,regression,2,COMPLETE
29,0.6671256138418468,2023-11-18 01:20:22.525549,2023-11-18 01:20:43.017320,0 days 00:00:20.491771,0.6,5,False,0.6,1.0,1.0,0.04,3,75,0.0,10.0,500,3,regression,2,COMPLETE
30,0.643445218492717,2023-11-18 01:21:11.157431,2023-11-18 01:22:11.793056,0 days 00:01:00.635625,0.8,5,True,0.6,2.0,0.1,0.05,4,50,0.1,1.0,1000,2,regression,3,COMPLETE
31,0.6730802945301543,2023-11-18 01:22:40.398520,2023-11-18 01:22:59.248606,0 days 00:00:18.850086,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
32,0.6371624938635247,2023-11-18 01:23:27.908068,2023-11-18 01:24:12.077657,0 days 00:00:44.169589,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,7,COMPLETE
33,0.6699934340118188,2023-11-18 01:24:39.697587,2023-11-18 01:25:18.845240,0 days 00:00:39.147653,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,0.001,250,15,regression,2,COMPLETE
34,0.6466328413284133,2023-11-18 01:25:47.392482,2023-11-18 01:27:05.391918,0 days 00:01:17.999436,0.6,0,True,0.6,0.1,0.0,0.04,4,75,0.5,0.01,250,7,regression,4,COMPLETE
35,0.631148278032551,2023-11-18 01:27:32.745505,2023-11-18 01:27:51.248933,0 days 00:00:18.503428,0.6,10,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,15,regression,5,COMPLETE
36,0.6382649907273851,2023-11-18 01:28:21.525543,2023-11-18 01:29:13.934901,0 days 00:00:52.409358,0.6,0,True,0.6,2.0,0.1,0.05,5,75,0.1,0.1,250,31,regression,9,COMPLETE
37,0.6445283018867924,2023-11-18 01:29:41.421316,2023-11-18 01:30:15.742461,0 days 00:00:34.321145,0.8,10,False,0.8,2.0,2.0,0.02,3,100,0.0,10.0,1000,3,binary,3,COMPLETE
38,0.6573462341758664,2023-11-18 01:30:45.929439,2023-11-18 01:31:32.909088,0 days 00:00:46.979649,0.6,0,True,0.6,0.0,0.0,0.01,4,75,0.5,0.01,100,7,binary,2,COMPLETE
39,0.6286462968456442,2023-11-18 01:32:00.557047,2023-11-18 01:32:18.364727,0 days 00:00:17.807680,0.8,0,False,1.0,0.1,2.0,0.04,3,100,0.5,0.001,250,7,regression,8,COMPLETE
40,0.6305120721676838,2023-11-18 01:32:47.036721,2023-11-18 01:33:27.464978,0 days 00:00:40.428257,0.6,10,True,0.6,2.0,0.1,0.05,5,100,0.0,10.0,500,31,binary,10,COMPLETE
41,0.6730802945301543,2023-11-18 01:33:55.709116,2023-11-18 01:34:34.106876,0 days 00:00:38.397760,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
42,0.6730802945301543,2023-11-18 01:35:03.505475,2023-11-18 01:35:28.526683,0 days 00:00:25.021208,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
43,0.6730802945301543,2023-11-18 01:35:57.065633,2023-11-18 01:36:52.505280,0 days 00:00:55.439647,0.6,0,True,0.6,2.0,0.0,0.05,4,100,0.5,10.0,250,7,regression,2,COMPLETE
44,0.6215031847133758,2023-11-18 01:37:20.821742,2023-11-18 01:37:39.013222,0 days 00:00:18.191480,0.6,0,True,0.6,2.0,0.0,0.04,4,100,0.1,10.0,100,15,regression,9,COMPLETE
45,0.6295526477396193,2023-11-18 01:38:07.123272,2023-11-18 01:38:53.211407,0 days 00:00:46.088135,0.6,0,False,0.6,0.1,0.0,0.05,4,100,0.5,1.0,250,7,regression,6,COMPLETE
46,0.6360742223030744,2023-11-18 01:39:23.247556,2023-11-18 01:39:40.698639,0 days 00:00:17.451083,0.6,5,True,0.8,2.0,1.0,0.03,4,25,0.5,0.01,250,3,regression,5,COMPLETE
47,0.667121899643156,2023-11-18 01:40:09.760090,2023-11-18 01:40:45.689350,0 days 00:00:35.929260,1.0,0,True,0.6,1.0,0.0,0.05,4,75,0.5,0.001,250,2,binary,2,COMPLETE
48,0.6533472209071111,2023-11-18 01:41:14.597342,2023-11-18 01:41:56.578510,0 days 00:00:41.981168,0.6,0,True,0.6,0.0,2.0,0.04,4,100,0.0,0.1,1000,7,regression,4,COMPLETE
49,0.6745654203529987,2023-11-18 01:42:25.240274,2023-11-18 01:42:59.724692,0 days 00:00:34.484418,0.8,0,True,1.0,2.0,0.0,0.05,4,100,0.1,10.0,100,31,regression,2,COMPLETE
